"k" "ID" "time" "survival"
"1" 1 0.04838709677419 100
"2" 2 0.06012808349146 99.9411764705882
"3" 3 0.08403700189753 99.8941176470588
"4" 4 0.09588472485769 99.8529411764706
"5" 5 0.1078747628083 99.8352941176471
"6" 6 0.1197580645161 99.8
"7" 7 0.1438092979127 99.7764705882353
"8" 8 0.1435958254269 99.7411764705882
"9" 9 0.1555147058824 99.7117647058824
"10" 10 0.1553368121442 99.6823529411765
"11" 11 0.1672912713472 99.6588235294118
"12" 12 0.1671489563567 99.6352941176471
"13" 13 0.1912001897533 99.6117647058824
"14" 14 0.239444971537 99.5882352941176
"15" 15 0.2755929791271 99.5647058823529
"16" 16 0.2996442125237 99.5411764705882
"17" 17 0.3358633776091 99.5294117647059
"18" 18 0.3841437381404 99.5117647058824
"19" 19 0.3962049335863 99.5058823529412
"20" 20 0.3959914611006 99.4705882352941
"21" 21 0.4320683111954 99.4352941176471
"22" 22 0.4440583491461 99.4176470588235
"23" 23 0.4680740037951 99.3882352941176
"24" 24 0.4800640417457 99.3705882352941
"25" 25 0.5041508538899 99.3529411764706
"26" 26 0.5160697343454 99.3235294117647
"27" 27 0.5158562618596 99.2882352941176
"28" 28 0.6125237191651 99.2705882352941
"29" 29 0.64860056926 99.2352941176471
"30" 30 0.7089065464896 99.2058823529412
"31" 31 0.745125711575 99.1941176470588
"32" 32 0.793334914611 99.1647058823529
"33" 33 0.8294473434535 99.1352941176471
"34" 34 0.889860056926 99.1235294117647
"35" 35 0.9502371916509 99.1058823529412
"36" 36 1.022711100569 99.0882352941176
"37" 37 1.107281783681 99.0705882352941
"38" 38 1.191816888046 99.0470588235294
"39" 39 1.276387571157 99.0294117647059
"40" 40 1.336729127135 99.0058823529412
"41" 41 1.397177419355 99
"42" 42 1.57845113852 98.970588235294
"43" 43 1.63889943074 98.964705882353
"44" 44 1.687179791271 98.947058823529
"45" 45 1.808040796964 98.929411764706
"46" 46 1.940962998102 98.905882352941
"47" 47 2.049798387097 98.9
"48" 48 2.122379032258 98.9
"49" 49 2.182791745731 98.888235294118
"50" 50 2.243168880455 98.870588235294
"51" 51 2.424656072106 98.876470588235
"52" 52 2.606072106262 98.870588235294
"53" 53 2.799620493359 98.870588235294
"54" 54 2.908527039848 98.876470588235
"55" 55 3.005301233397 98.876470588235
"56" 56 3.077917457306 98.882352941176
"57" 57 3.138223434535 98.852941176471
"58" 58 3.174371442125 98.829411764706
"59" 59 3.295339184061 98.829411764706
"60" 60 3.404210151803 98.829411764706
"61" 61 3.48885199241 98.823529411765
"62" 62 3.524928842505 98.788235294118
"63" 63 3.694248102467 98.782352941176
"64" 64 3.693963472486 98.735294117647
"65" 65 4.020576375712 98.735294117647
"66" 66 4.044414136622 98.676470588235
"67" 67 4.104328747628 98.582352941176
"68" 68 5.797877134725 98.582352941176
"69" 69 4.975296489564 98.582352941176
