"","year_issue","year_expire","ethnicity","S_expire","pop","year_pop","mean_pltbi","low_pltbi","upp_pltbi","n_ltbi","n_ltbi_low","n_ltbi_upp","time","S_tb","p_tb","n_tb","n_tb_low","n_tb_upp"
"12",2005,2008,"Bangladeshi",0.62,11831,7335.22,0.302518821388457,0.188178734084316,0.421247579351274,2219.04210902504,1380.33241382996,3089.94366900905,4,0.973885908895243,0.00123195171599288,2.73,1.7,3.81
"13",2006,2008,"Bangladeshi",0.79,11134,8795.86,0.302518821388457,0.188178734084316,0.421247579351274,2660.91320029787,1655.19379998287,3705.2347333127,3,0.975117860611236,0.00283134593503798,7.53,4.69,10.49
"14",2007,2008,"Bangladeshi",0.92,8964,8246.88,0.302518821388457,0.188178734084316,0.421247579351274,2494.83641773204,1551.88743854527,3473.97823720043,2,0.977949206546274,0.00657386804599314,16.4,10.2,22.84
"15",2008,2008,"Bangladeshi",0.98,8984,8804.32,0.302518821388457,0.188178734084316,0.421247579351274,2663.47250952682,1656.78579207323,3708.79848783401,1,0.984523074592267,0.0154769254077327,41.22,25.64,57.4
"16",2004,2009,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,6,0.973105911314992,0.000239270929601854,0.29,0.18,0.4
"17",2005,2009,"Bangladeshi",0.6,11831,7098.6,0.302518821388457,0.188178734084316,0.421247579351274,2147.4601055081,1335.80556177093,2990.26806678295,5,0.973345182244593,0.000540726650649859,1.16,0.72,1.62
"18",2006,2009,"Bangladeshi",0.72,11134,8016.48,0.302518821388457,0.188178734084316,0.421247579351274,2425.13608128414,1508.53105821224,3376.9227949179,4,0.973885908895243,0.00123195171599288,2.99,1.86,4.16
"19",2007,2009,"Bangladeshi",0.84,8964,7529.76,0.302518821388457,0.188178734084316,0.421247579351274,2277.89412053795,1416.94070475872,3171.89317309605,3,0.975117860611236,0.00283134593503798,6.45,4.01,8.98
"20",2008,2009,"Bangladeshi",0.93,8984,8355.12,0.302518821388457,0.188178734084316,0.421247579351274,2527.58105495912,1572.25590472255,3519.57407518942,2,0.977949206546274,0.00657386804599314,16.62,10.34,23.14
"21",2009,2009,"Bangladeshi",0.99,21887,21668.13,0.302518821388457,0.188178734084316,0.421247579351274,6555.01714929186,4077.48127337439,9127.64731156872,1,0.984523074592267,0.0154769254077327,101.45,63.11,141.27
"22",2004,2010,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,7,0.972999193930115,0.000106717384876331,0.13,0.08,0.18
"23",2005,2010,"Bangladeshi",0.59,11831,6980.29,0.302518821388457,0.188178734084316,0.421247579351274,2111.66910374963,1313.54213574141,2940.4302656699,6,0.973105911314992,0.000239270929601854,0.51,0.31,0.7
"24",2006,2010,"Bangladeshi",0.67,11134,7459.78,0.302518821388457,0.188178734084316,0.421247579351274,2256.72385341718,1403.7719569475,3142.41426749305,5,0.973345182244593,0.000540726650649859,1.22,0.76,1.7
"25",2007,2010,"Bangladeshi",0.76,8964,6812.64,0.302518821388457,0.188178734084316,0.421247579351274,2060.95182334386,1281.99397097218,2869.80810899166,4,0.973885908895243,0.00123195171599288,2.54,1.58,3.54
"26",2008,2010,"Bangladeshi",0.84,8984,7546.56,0.302518821388457,0.188178734084316,0.421247579351274,2282.97643673727,1420.10210749134,3178.97013242915,3,0.975117860611236,0.00283134593503798,6.46,4.02,9
"27",2009,2010,"Bangladeshi",0.95,21887,20792.65,0.302518821388457,0.188178734084316,0.421247579351274,6290.16797154269,3912.73455525826,8758.85348079826,2,0.977949206546274,0.00657386804599314,41.35,25.72,57.58
"28",2010,2010,"Bangladeshi",0.97,13544,13137.68,0.302518821388457,0.188178734084316,0.421247579351274,3974.3954693787,2472.23199120484,5534.21589829164,1,0.984523074592267,0.0154769254077327,61.51,38.26,85.65
"29",2004,2011,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,8,0.972951222306863,4.79716232523186e-05,0.06,0.04,0.08
"30",2005,2011,"Bangladeshi",0.59,11831,6980.29,0.302518821388457,0.188178734084316,0.421247579351274,2111.66910374963,1313.54213574141,2940.4302656699,7,0.972999193930115,0.000106717384876331,0.23,0.14,0.31
"31",2006,2011,"Bangladeshi",0.64,11134,7125.76,0.302518821388457,0.188178734084316,0.421247579351274,2155.67651669701,1340.91649618866,3001.70915103813,6,0.973105911314992,0.000239270929601854,0.52,0.32,0.72
"32",2007,2011,"Bangladeshi",0.7,8964,6274.8,0.302518821388457,0.188178734084316,0.421247579351274,1898.24510044829,1180.78392063227,2643.24431091337,5,0.973345182244593,0.000540726650649859,1.03,0.64,1.43
"33",2008,2011,"Bangladeshi",0.75,8984,6738,0.302518821388457,0.188178734084316,0.421247579351274,2038.37181851542,1267.94831026012,2838.36618966888,4,0.973885908895243,0.00123195171599288,2.51,1.56,3.5
"34",2009,2011,"Bangladeshi",0.84,21887,18385.08,0.302518821388457,0.188178734084316,0.421247579351274,5561.83273273249,3459.68108043888,7744.67044617952,3,0.975117860611236,0.00283134593503798,15.75,9.8,21.93
"35",2010,2011,"Bangladeshi",0.89,13544,12054.16,0.302518821388457,0.188178734084316,0.421247579351274,3646.61027602788,2268.3365692498,5077.78572111295,2,0.977949206546274,0.00657386804599314,23.97,14.91,33.38
"36",2011,2011,"Bangladeshi",0.98,9074,8892.52,0.302518821388457,0.188178734084316,0.421247579351274,2690.15466957328,1673.38315641946,3745.95252433279,1,0.984523074592267,0.0154769254077327,41.64,25.9,57.98
"37",2004,2012,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,9,0.972929488537696,2.17337691670316e-05,0.03,0.02,0.04
"38",2005,2012,"Bangladeshi",0.59,11831,6980.29,0.302518821388457,0.188178734084316,0.421247579351274,2111.66910374963,1313.54213574141,2940.4302656699,8,0.972951222306863,4.79716232523186e-05,0.1,0.06,0.14
"39",2006,2012,"Bangladeshi",0.63,11134,7014.42,0.302518821388457,0.188178734084316,0.421247579351274,2121.99407112362,1319.96467593571,2954.80744555316,7,0.972999193930115,0.000106717384876331,0.23,0.14,0.32
"40",2007,2012,"Bangladeshi",0.65,8964,5826.6,0.302518821388457,0.188178734084316,0.421247579351274,1762.65616470198,1096.44221201568,2454.44114584813,6,0.973105911314992,0.000239270929601854,0.42,0.26,0.59
"41",2008,2012,"Bangladeshi",0.68,8984,6109.12,0.302518821388457,0.188178734084316,0.421247579351274,1848.12378212065,1149.60646796918,2573.45201196645,5,0.973345182244593,0.000540726650649859,1,0.62,1.39
"42",2009,2012,"Bangladeshi",0.68,21887,14883.16,0.302518821388457,0.188178734084316,0.421247579351274,4502.43602173582,2800.69420797433,6269.49512309771,4,0.973885908895243,0.00123195171599288,5.55,3.45,7.72
"43",2010,2012,"Bangladeshi",0.73,13544,9887.12,0.302518821388457,0.188178734084316,0.421247579351274,2991.03988932624,1860.54572533972,4164.92536675557,3,0.975117860611236,0.00283134593503798,8.47,5.27,11.79
"44",2011,2012,"Bangladeshi",0.87,9074,7894.38,0.302518821388457,0.188178734084316,0.421247579351274,2388.19853319261,1485.55443478054,3325.48846547911,2,0.977949206546274,0.00657386804599314,15.7,9.77,21.86
"45",2012,2012,"Bangladeshi",0.98,5747,5632.06,0.302518821388457,0.188178734084316,0.421247579351274,1703.80415318907,1059.83392108691,2372.49164176114,1,0.984523074592267,0.0154769254077327,26.37,16.4,36.72
"46",2004,2013,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,10,0.972919564370996,9.92416669942653e-06,0.01,0.01,0.02
"47",2005,2013,"Bangladeshi",0.59,11831,6980.29,0.302518821388457,0.188178734084316,0.421247579351274,2111.66910374963,1313.54213574141,2940.4302656699,9,0.972929488537696,2.17337691670316e-05,0.05,0.03,0.06
"48",2006,2013,"Bangladeshi",0.62,11134,6903.08,0.302518821388457,0.188178734084316,0.421247579351274,2088.31162555023,1299.01285568276,2907.90574006819,8,0.972951222306863,4.79716232523186e-05,0.1,0.06,0.14
"49",2007,2013,"Bangladeshi",0.63,8964,5647.32,0.302518821388457,0.188178734084316,0.421247579351274,1708.42059040346,1062.70552856904,2378.91987982204,7,0.972999193930115,0.000106717384876331,0.18,0.11,0.25
"50",2008,2013,"Bangladeshi",0.63,8984,5659.92,0.302518821388457,0.188178734084316,0.421247579351274,1712.23232755295,1065.0765806185,2384.22759932186,6,0.973105911314992,0.000239270929601854,0.41,0.25,0.57
"51",2009,2013,"Bangladeshi",0.53,21887,11600.11,0.302518821388457,0.188178734084316,0.421247579351274,3509.25160517645,2182.89401503882,4886.51825770851,5,0.973345182244593,0.000540726650649859,1.9,1.18,2.64
"52",2010,2013,"Bangladeshi",0.56,13544,7584.64,0.302518821388457,0.188178734084316,0.421247579351274,2294.49635345574,1427.26795368527,3195.01124025085,4,0.973885908895243,0.00123195171599288,2.83,1.76,3.94
"53",2011,2013,"Bangladeshi",0.69,9074,6261.06,0.302518821388457,0.188178734084316,0.421247579351274,1894.08849184241,1178.19834482595,2637.45636917309,3,0.975117860611236,0.00283134593503798,5.36,3.34,7.47
"54",2012,2013,"Bangladeshi",0.9,5747,5172.3,0.302518821388457,0.188178734084316,0.421247579351274,1564.71809986751,973.316866304309,2178.81885467859,2,0.977949206546274,0.00657386804599314,10.29,6.4,14.32
"55",2013,2013,"Bangladeshi",0.98,4037,3956.26,0.302518821388457,0.188178734084316,0.421247579351274,1196.8431123063,744.483998508417,1666.56494828427,1,0.984523074592267,0.0154769254077327,18.52,11.52,25.79
"56",2004,2014,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,11,0.972914996956112,4.56741488419343e-06,0.01,0,0.01
"57",2005,2014,"Bangladeshi",0.59,11831,6980.29,0.302518821388457,0.188178734084316,0.421247579351274,2111.66910374963,1313.54213574141,2940.4302656699,10,0.972919564370996,9.92416669942653e-06,0.02,0.01,0.03
"58",2006,2014,"Bangladeshi",0.62,11134,6903.08,0.302518821388457,0.188178734084316,0.421247579351274,2088.31162555023,1299.01285568276,2907.90574006819,9,0.972929488537696,2.17337691670316e-05,0.05,0.03,0.06
"59",2007,2014,"Bangladeshi",0.61,8964,5468.04,0.302518821388457,0.188178734084316,0.421247579351274,1654.18501610494,1028.9688451224,2303.39861379594,8,0.972951222306863,4.79716232523186e-05,0.08,0.05,0.11
"60",2008,2014,"Bangladeshi",0.6,8984,5390.4,0.302518821388457,0.188178734084316,0.421247579351274,1630.69745481234,1014.3586482081,2270.69295173511,7,0.972999193930115,0.000106717384876331,0.17,0.11,0.24
"61",2009,2014,"Bangladeshi",0.43,21887,9411.41,0.302518821388457,0.188178734084316,0.421247579351274,2847.12866080354,1771.02721974847,3964.53368078237,6,0.973105911314992,0.000239270929601854,0.68,0.42,0.95
"62",2010,2014,"Bangladeshi",0.45,13544,6094.8,0.302518821388457,0.188178734084316,0.421247579351274,1843.79171259837,1146.91174849709,2567.41974663014,5,0.973345182244593,0.000540726650649859,1,0.62,1.39
"63",2011,2014,"Bangladeshi",0.53,9074,4809.22,0.302518821388457,0.188178734084316,0.421247579351274,1454.87956619779,904.992931532975,2025.87228356773,4,0.973885908895243,0.00123195171599288,1.79,1.11,2.5
"64",2012,2014,"Bangladeshi",0.74,5747,4252.78,0.302518821388457,0.188178734084316,0.421247579351274,1286.5459932244,800.282756739098,1791.47328051351,3,0.975117860611236,0.00283134593503798,3.64,2.27,5.07
"65",2013,2014,"Bangladeshi",0.88,4037,3552.56,0.302518821388457,0.188178734084316,0.421247579351274,1074.71626411178,668.516243558578,1496.50730050016,2,0.977949206546274,0.00657386804599314,7.07,4.39,9.84
"66",2014,2014,"Bangladeshi",0.98,4482,4392.36,0.302518821388457,0.188178734084316,0.421247579351274,1328.7715703138,826.548744442587,1850.27101763936,1,0.984523074592267,0.0154769254077327,20.57,12.79,28.64
"67",2004,2015,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,12,0.972912878244554,2.11871155852972e-06,0,0,0
"68",2005,2015,"Bangladeshi",0.59,11831,6980.29,0.302518821388457,0.188178734084316,0.421247579351274,2111.66910374963,1313.54213574141,2940.4302656699,11,0.972914996956112,4.56741488419343e-06,0.01,0.01,0.01
"69",2006,2015,"Bangladeshi",0.62,11134,6903.08,0.302518821388457,0.188178734084316,0.421247579351274,2088.31162555023,1299.01285568276,2907.90574006819,10,0.972919564370996,9.92416669942653e-06,0.02,0.01,0.03
"70",2007,2015,"Bangladeshi",0.6,8964,5378.4,0.302518821388457,0.188178734084316,0.421247579351274,1627.06722895568,1012.10050339909,2265.63798078289,9,0.972929488537696,2.17337691670316e-05,0.04,0.02,0.05
"71",2008,2015,"Bangladeshi",0.59,8984,5300.56,0.302518821388457,0.188178734084316,0.421247579351274,1603.5191638988,997.452670737963,2232.84806920619,8,0.972951222306863,4.79716232523186e-05,0.08,0.05,0.11
"72",2009,2015,"Bangladeshi",0.38,21887,8317.06,0.302518821388457,0.188178734084316,0.421247579351274,2516.06718861708,1565.0938221033,3503.54139231931,7,0.972999193930115,0.000106717384876331,0.27,0.17,0.37
"73",2010,2015,"Bangladeshi",0.4,13544,5417.6,0.302518821388457,0.188178734084316,0.421247579351274,1638.9259667541,1019.47710977519,2282.15088589346,6,0.973105911314992,0.000239270929601854,0.39,0.24,0.55
"74",2011,2015,"Bangladeshi",0.45,9074,4083.3,0.302518821388457,0.188178734084316,0.421247579351274,1235.27510337549,768.390224886488,1720.08024076506,5,0.973345182244593,0.000540726650649859,0.67,0.42,0.93
"75",2012,2015,"Bangladeshi",0.61,5747,3505.67,0.302518821388457,0.188178734084316,0.421247579351274,1060.53115657687,659.692542717365,1476.75500150438,4,0.973885908895243,0.00123195171599288,1.31,0.81,1.82
"76",2013,2015,"Bangladeshi",0.71,4037,2866.27,0.302518821388457,0.188178734084316,0.421247579351274,867.100622181092,539.371060143853,1207.40929926718,3,0.975117860611236,0.00283134593503798,2.46,1.53,3.42
"77",2014,2015,"Bangladeshi",0.85,4482,3809.7,0.302518821388457,0.188178734084316,0.421247579351274,1152.5059538436,716.904523241019,1604.82690305455,2,0.977949206546274,0.00657386804599314,7.58,4.71,10.55
"78",2015,2015,"Bangladeshi",0.97,3388,3286.36,0.302518821388457,0.188178734084316,0.421247579351274,994.185753858169,618.423064545333,1384.37119487685,1,0.984523074592267,0.0154769254077327,15.39,9.57,21.43
"79",2004,2016,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,13,0.972911887635587,9.90608966855433e-07,0,0,0
"80",2005,2016,"Bangladeshi",0.59,11831,6980.29,0.302518821388457,0.188178734084316,0.421247579351274,2111.66910374963,1313.54213574141,2940.4302656699,12,0.972912878244554,2.11871155852972e-06,0,0,0.01
"81",2006,2016,"Bangladeshi",0.62,11134,6903.08,0.302518821388457,0.188178734084316,0.421247579351274,2088.31162555023,1299.01285568276,2907.90574006819,11,0.972914996956112,4.56741488419343e-06,0.01,0.01,0.01
"82",2007,2016,"Bangladeshi",0.6,8964,5378.4,0.302518821388457,0.188178734084316,0.421247579351274,1627.06722895568,1012.10050339909,2265.63798078289,10,0.972919564370996,9.92416669942653e-06,0.02,0.01,0.02
"83",2008,2016,"Bangladeshi",0.59,8984,5300.56,0.302518821388457,0.188178734084316,0.421247579351274,1603.5191638988,997.452670737963,2232.84806920619,9,0.972929488537696,2.17337691670316e-05,0.03,0.02,0.05
"84",2009,2016,"Bangladeshi",0.36,21887,7879.32,0.302518821388457,0.188178734084316,0.421247579351274,2383.64259974249,1482.72046304523,3319.14447693408,8,0.972951222306863,4.79716232523186e-05,0.11,0.07,0.16
"85",2010,2016,"Bangladeshi",0.37,13544,5011.28,0.302518821388457,0.188178734084316,0.421247579351274,1516.00651924755,943.016326542052,2110.98956945145,7,0.972999193930115,0.000106717384876331,0.16,0.1,0.23
"86",2011,2016,"Bangladeshi",0.43,9074,3901.82,0.302518821388457,0.188178734084316,0.421247579351274,1180.37398766991,734.239548224867,1643.63223006439,6,0.973105911314992,0.000239270929601854,0.28,0.18,0.39
"87",2012,2016,"Bangladeshi",0.56,5747,3218.32,0.302518821388457,0.188178734084316,0.421247579351274,973.602373250898,605.619383478237,1355.70950957779,5,0.973345182244593,0.000540726650649859,0.53,0.33,0.73
"88",2013,2016,"Bangladeshi",0.58,4037,2341.46,0.302518821388457,0.188178734084316,0.421247579351274,708.335719528216,440.612978709063,986.334357147834,4,0.973885908895243,0.00123195171599288,0.87,0.54,1.22
"89",2014,2016,"Bangladeshi",0.67,4482,3002.94,0.302518821388457,0.188178734084316,0.421247579351274,908.445869500252,565.089447731156,1264.98120593711,3,0.975117860611236,0.00283134593503798,2.57,1.6,3.58
"90",2015,2016,"Bangladeshi",0.91,3388,3083.08,0.302518821388457,0.188178734084316,0.421247579351274,932.689727846323,580.170091480674,1298.73998694633,2,0.977949206546274,0.00657386804599314,6.13,3.81,8.54
"91",2016,2016,"Bangladeshi",0.98,2742,2687.16,0.302518821388457,0.188178734084316,0.421247579351274,812.916476082205,505.666367082011,1131.95964532957,1,0.984523074592267,0.0154769254077327,12.58,7.83,17.52
"92",2004,2017,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,14,0.972911420803178,4.66832408951845e-07,0,0,0
"93",2005,2017,"Bangladeshi",0.59,11831,6980.29,0.302518821388457,0.188178734084316,0.421247579351274,2111.66910374963,1313.54213574141,2940.4302656699,13,0.972911887635587,9.90608966855433e-07,0,0,0
"94",2006,2017,"Bangladeshi",0.61,11134,6791.74,0.302518821388457,0.188178734084316,0.421247579351274,2054.62917997684,1278.06103542981,2861.00403458322,12,0.972912878244554,2.11871155852972e-06,0,0,0.01
"95",2007,2017,"Bangladeshi",0.59,8964,5288.76,0.302518821388457,0.188178734084316,0.421247579351274,1599.94944180641,995.232161675768,2227.87734776984,11,0.972914996956112,4.56741488419343e-06,0.01,0,0.01
"96",2008,2017,"Bangladeshi",0.58,8984,5210.72,0.302518821388457,0.188178734084316,0.421247579351274,1576.34087298526,980.546693267828,2195.00318667727,10,0.972919564370996,9.92416669942653e-06,0.02,0.01,0.02
"97",2009,2017,"Bangladeshi",0.35,21887,7660.45,0.302518821388457,0.188178734084316,0.421247579351274,2317.4303053052,1441.5337835162,3226.94601924147,9,0.972929488537696,2.17337691670316e-05,0.05,0.03,0.07
"98",2010,2017,"Bangladeshi",0.36,13544,4875.84,0.302518821388457,0.188178734084316,0.421247579351274,1475.03337007869,917.529398797672,2053.93579730412,8,0.972951222306863,4.79716232523186e-05,0.07,0.04,0.1
"99",2011,2017,"Bangladeshi",0.42,9074,3811.08,0.302518821388457,0.188178734084316,0.421247579351274,1152.92342981712,717.164209894056,1605.40822471405,7,0.972999193930115,0.000106717384876331,0.12,0.08,0.17
"100",2012,2017,"Bangladeshi",0.55,5747,3160.85,0.302518821388457,0.188178734084316,0.421247579351274,956.216616585704,594.804751630411,1331.50041119247,6,0.973105911314992,0.000239270929601854,0.23,0.14,0.32
"101",2013,2017,"Bangladeshi",0.52,4037,2099.24,0.302518821388457,0.188178734084316,0.421247579351274,635.059610611504,395.03232573916,884.299768477368,5,0.973345182244593,0.000540726650649859,0.34,0.21,0.48
"102",2014,2017,"Bangladeshi",0.56,4482,2509.92,0.302518821388457,0.188178734084316,0.421247579351274,759.298040179315,472.313568252907,1057.29772436535,4,0.973885908895243,0.00123195171599288,0.94,0.58,1.3
"103",2015,2017,"Bangladeshi",0.83,3388,2812.04,0.302518821388457,0.188178734084316,0.421247579351274,850.695026497196,529.166127394461,1184.56504303896,3,0.975117860611236,0.00283134593503798,2.41,1.5,3.35
"104",2016,2017,"Bangladeshi",0.89,2742,2440.38,0.302518821388457,0.188178734084316,0.421247579351274,738.260881339962,459.227619084684,1028.00416769726,2,0.977949206546274,0.00657386804599314,4.85,3.02,6.76
"105",2017,2017,"Bangladeshi",0.98,3386,3318.28,0.302518821388457,0.188178734084316,0.421247579351274,1003.84215463689,624.429729737305,1397.81741760975,1,0.984523074592267,0.0154769254077327,15.54,9.66,21.63
"106",2004,2018,"Bangladeshi",0.55,7293,4011.15,0.302518821388457,0.188178734084316,0.421247579351274,1213.44837041231,754.813129222305,1689.68722791486,15,0.972911199064523,2.21738654992976e-07,0,0,0
"107",2005,2018,"Bangladeshi",0.59,11831,6980.29,0.302518821388457,0.188178734084316,0.421247579351274,2111.66910374963,1313.54213574141,2940.4302656699,14,0.972911420803178,4.66832408951845e-07,0,0,0
"108",2006,2018,"Bangladeshi",0.61,11134,6791.74,0.302518821388457,0.188178734084316,0.421247579351274,2054.62917997684,1278.06103542981,2861.00403458322,13,0.972911887635587,9.90608966855433e-07,0,0,0
"109",2007,2018,"Bangladeshi",0.59,8964,5288.76,0.302518821388457,0.188178734084316,0.421247579351274,1599.94944180641,995.232161675768,2227.87734776984,12,0.972912878244554,2.11871155852972e-06,0,0,0
"110",2008,2018,"Bangladeshi",0.58,8984,5210.72,0.302518821388457,0.188178734084316,0.421247579351274,1576.34087298526,980.546693267828,2195.00318667727,11,0.972914996956112,4.56741488419343e-06,0.01,0,0.01
"111",2009,2018,"Bangladeshi",0.34,21887,7441.58,0.302518821388457,0.188178734084316,0.421247579351274,2251.21801086791,1400.34710398717,3134.74756154885,10,0.972919564370996,9.92416669942653e-06,0.02,0.01,0.03
"112",2010,2018,"Bangladeshi",0.36,13544,4875.84,0.302518821388457,0.188178734084316,0.421247579351274,1475.03337007869,917.529398797672,2053.93579730412,9,0.972929488537696,2.17337691670316e-05,0.03,0.02,0.04
"113",2011,2018,"Bangladeshi",0.42,9074,3811.08,0.302518821388457,0.188178734084316,0.421247579351274,1152.92342981712,717.164209894056,1605.40822471405,8,0.972951222306863,4.79716232523186e-05,0.06,0.03,0.08
"114",2012,2018,"Bangladeshi",0.55,5747,3160.85,0.302518821388457,0.188178734084316,0.421247579351274,956.216616585704,594.804751630411,1331.50041119247,7,0.972999193930115,0.000106717384876331,0.1,0.06,0.14
"115",2013,2018,"Bangladeshi",0.5,4037,2018.5,0.302518821388457,0.188178734084316,0.421247579351274,610.6342409726,379.838774749192,850.288238920546,6,0.973105911314992,0.000239270929601854,0.15,0.09,0.2
"116",2014,2018,"Bangladeshi",0.54,4482,2420.28,0.302518821388457,0.188178734084316,0.421247579351274,732.180253030054,455.445226529589,1019.5370913523,5,0.973345182244593,0.000540726650649859,0.4,0.25,0.55
"117",2015,2018,"Bangladeshi",0.73,3388,2473.24,0.302518821388457,0.188178734084316,0.421247579351274,748.201649810787,465.411172286694,1041.84636315474,4,0.973885908895243,0.00123195171599288,0.92,0.57,1.28
